route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
7,7,0,AM Peak (6–9),21,67.0,53.0,67.0,14.0,18.0,8.0,6.0,11.0,0.10555555555555556,0.3673014276656683,25.73,moderate,2026-01-16
7,7,0,Evening (19–24),30,40.0,35.0,43.0,8.0,30.0,12.0,5.0,12.0,0.07307692307692307,0.249098315991593,17.5,moderate,2026-01-16
7,7,0,Midday (9–15),37,54.0,54.0,61.0,7.0,37.0,12.0,4.0,13.0,0.07307692307692307,0.22496585339725225,16.06,moderate,2026-01-16
7,7,0,Overnight (0–6),13,35.0,35.0,42.0,7.0,10.0,5.0,5.0,10.1,0.15833333333333333,0.22496585339725225,19.04,moderate,2026-01-16
7,7,0,PM Peak (15–19),24,61.0,53.9,61.0,7.100000000000001,24.0,12.0,12.0,12.0,0.07307692307692307,0.22744867722042775,16.2,moderate,2026-01-16
7,7,1,AM Peak (6–9),20,61.0,54.5,63.0,8.5,14.0,4.0,4.0,8.0,0.19,0.260609622116048,22.29,moderate,2026-01-16
7,7,1,Evening (19–24),30,52.0,40.0,57.0,17.0,30.0,6.0,0.0,8.100000000000001,0.1357142857142857,0.41346602079490874,29.56,moderate,2026-01-16
7,7,1,Midday (9–15),38,65.0,65.0,89.0,24.0,36.0,7.0,4.0,8.0,0.11875,0.4987963075217791,34.08,high schedule variability,2026-01-16
7,7,1,Overnight (0–6),11,40.0,31.0,40.0,9.0,8.0,0.0,0.0,1.4999999999999991,0.95,0.2717733209189965,49.56,no recovery time,2026-01-16
7,7,1,PM Peak (15–19),24,89.0,65.5,89.0,23.5,24.0,8.0,8.0,8.0,0.10555555555555556,0.4935333134986612,33.31,moderate,2026-01-16
8,8,0,AM Peak (6–9),8,44.0,44.0,44.0,0.0,8.0,3.0,3.0,3.8999999999999995,0.2375,0.0,8.31,very low recovery time,2026-01-16
8,8,0,Evening (19–24),13,33.0,29.0,33.0,4.0,13.0,2.0,2.0,5.0,0.31666666666666665,0.14226859124455382,19.62,very low recovery time,2026-01-16
8,8,0,Midday (9–15),16,38.0,38.0,41.0,3.0,16.0,6.0,3.0,6.0,0.1357142857142857,0.11063646700882021,11.39,moderate,2026-01-16
8,8,0,Overnight (0–6),7,29.0,29.0,44.0,15.0,5.0,5.0,2.0,5.0,0.15833333333333333,0.3834764268518716,28.55,moderate,2026-01-16
8,8,0,PM Peak (15–19),10,38.5,37.8,39.0,1.2000000000000028,11.0,6.0,2.0,6.0,0.1357142857142857,0.04740116527864655,7.59,moderate,2026-01-16
8,8,1,AM Peak (6–9),8,36.0,36.0,36.0,0.0,8.0,5.0,5.0,5.0,0.15833333333333333,0.0,5.54,moderate,2026-01-16
8,8,1,Evening (19–24),12,33.0,29.0,33.0,4.0,12.0,4.0,4.0,9.0,0.19,0.14226859124455382,15.19,moderate,2026-01-16
8,8,1,Midday (9–15),16,35.0,35.0,35.0,0.0,17.0,9.0,7.4,9.0,0.095,0.0,3.32,moderate,2026-01-16
8,8,1,Overnight (0–6),10,29.0,29.0,36.0,7.0,7.0,9.0,3.8000000000000003,9.0,0.095,0.22496585339725225,16.82,moderate,2026-01-16
8,8,1,PM Peak (15–19),11,43.0,39.0,43.0,4.0,10.0,5.0,4.0,8.499999999999998,0.15833333333333333,0.14226859124455382,14.08,moderate,2026-01-16
9,9,0,AM Peak (6–9),10,42.0,40.0,44.0,4.0,10.0,4.5,2.0,5.1,0.17272727272727273,0.14226859124455382,14.58,moderate,2026-01-16
9,9,0,Evening (19–24),13,36.0,36.0,36.0,0.0,11.0,2.0,0.0,2.0,0.31666666666666665,0.0,11.08,very low recovery time,2026-01-16
9,9,0,Midday (9–15),14,39.0,39.0,44.0,5.0,13.0,4.0,0.40000000000000036,4.0,0.19,0.17172786857093794,16.95,moderate,2026-01-16
9,9,0,Overnight (0–6),6,35.5,31.0,40.0,9.0,4.0,4.5,4.0,11.3,0.17272727272727273,0.2717733209189965,22.35,moderate,2026-01-16
9,9,0,PM Peak (15–19),13,41.0,41.0,41.0,0.0,13.0,4.0,1.0,5.0,0.19,0.0,6.65,moderate,2026-01-16
9,9,1,AM Peak (6–9),10,44.0,38.0,44.0,6.0,10.0,1.5,0.0,3.1999999999999993,0.38,0.19923074794543294,25.25,very low recovery time,2026-01-16
9,9,1,Evening (19–24),11,40.0,40.0,40.0,0.0,13.0,0.0,0.0,0.0,0.95,0.0,33.25,no recovery time,2026-01-16
9,9,1,Midday (9–15),14,41.0,41.0,47.0,6.0,12.0,0.0,0.0,0.0,0.95,0.19923074794543294,45.2,no recovery time,2026-01-16
9,9,1,Overnight (0–6),7,38.0,34.0,38.0,4.0,5.0,4.0,0.0,8.4,0.19,0.14226859124455382,15.19,moderate,2026-01-16
9,9,1,PM Peak (15–19),15,44.0,44.0,47.0,3.0,13.0,0.0,0.0,2.8000000000000007,0.95,0.11063646700882021,39.89,no recovery time,2026-01-16
10,10,0,AM Peak (6–9),6,12.0,11.5,12.0,0.5,6.0,3.0,3.0,3.5,0.2375,0.02031212972680186,9.53,very low recovery time,2026-01-16
10,10,0,Evening (19–24),1,12.0,12.0,12.0,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-01-16
10,10,0,Midday (9–15),2,12.0,12.0,12.0,0.0,1.0,3.0,3.0,3.0,0.2375,0.0,8.31,very low recovery time,2026-01-16
10,10,0,Overnight (0–6),2,11.0,11.0,11.0,0.0,2.0,4.0,4.0,4.0,0.19,0.0,6.65,moderate,2026-01-16
