route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
927,927,1,Midday (9–15),57,43.0,25.0,55.0,30.0,51.0,3.0,2.0,12.0,0.2375,0.5639097744360902,42.15,"very low recovery time, high schedule variability",2026-06-11
927,927,1,Overnight (0–6),17,28.0,23.0,39.800000000000004,16.800000000000004,7.0,9.0,5.2,15.800000000000002,0.095,0.42000000000000004,28.52,moderate,2026-06-11
927,927,1,PM Peak (15–19),55,34.0,30.0,55.0,25.0,55.0,5.0,0.8000000000000007,6.0,0.15833333333333333,0.5186721991701244,36.66,high schedule variability,2026-06-11
929,929,0,AM Peak (6–9),23,45.0,38.2,45.0,6.799999999999997,17.0,4.0,4.0,7.0,0.19,0.22666666666666657,20.25,moderate,2026-06-11
929,929,0,Evening (19–24),23,42.0,40.2,42.0,1.7999999999999972,23.0,5.0,5.0,5.800000000000001,0.15833333333333333,0.07199999999999988,9.86,moderate,2026-06-11
929,929,0,Midday (9–15),46,47.0,47.0,50.5,3.5,45.0,4.0,4.0,5.0,0.19,0.13108614232209737,14.52,moderate,2026-06-11
929,929,0,PM Peak (15–19),29,57.0,50.8,57.0,6.200000000000003,30.0,2.0,1.0,2.0,0.31666666666666665,0.21088435374149667,23.74,very low recovery time,2026-06-11
929,929,1,AM Peak (6–9),22,41.0,38.1,46.0,7.899999999999999,16.0,5.0,2.5,7.0,0.15833333333333333,0.25401929260450157,20.78,moderate,2026-06-11
929,929,1,Evening (19–24),23,44.0,43.0,44.0,1.0,22.0,5.0,5.0,6.900000000000002,0.15833333333333333,0.04132231404958677,8.02,moderate,2026-06-11
929,929,1,Midday (9–15),46,49.0,49.0,50.5,1.5,45.0,4.0,2.0,7.400000000000006,0.19,0.060728744939271245,10.29,moderate,2026-06-11
929,929,1,PM Peak (15–19),31,59.0,50.0,59.0,9.0,29.0,10.0,5.0,11.0,0.08636363636363636,0.2795031055900621,19.79,moderate,2026-06-11
935,935,0,AM Peak (6–9),22,45.0,42.0,45.0,3.0,20.0,9.0,4.800000000000001,10.0,0.095,0.11450381679389311,10.2,moderate,2026-06-11
935,935,0,Evening (19–24),19,37.0,36.8,37.0,0.20000000000000284,16.0,7.0,2.5,7.0,0.11875,0.008547008547008666,4.67,moderate,2026-06-11
935,935,0,Midday (9–15),42,44.0,42.0,54.599999999999994,12.599999999999994,34.0,8.0,7.0,9.0,0.10555555555555556,0.3519553072625697,24.81,moderate,2026-06-11
935,935,0,Overnight (0–6),5,40.083333333333336,35.68333333333334,40.63333333333333,4.949999999999996,2.0,9.0,7.4,10.6,0.095,0.17584369449378315,13.88,moderate,2026-06-11
