route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
7,7,0,AM Peak (6–9),19,63.0,57.8,63.0,5.200000000000003,18.0,10.0,5.7,10.0,0.08636363636363636,0.18055555555555566,13.86,moderate,2026-07-20
7,7,0,Evening (19–24),30,41.0,33.0,48.0,15.0,30.0,9.0,5.800000000000001,15.100000000000001,0.095,0.3886010362694301,26.64,moderate,2026-07-20
7,7,0,Midday (9–15),39,56.0,56.0,64.0,8.0,38.0,9.0,4.0,11.0,0.095,0.2531645569620254,18.51,moderate,2026-07-20
7,7,0,Overnight (0–6),14,33.0,33.0,49.800000000000004,16.800000000000004,10.0,4.0,4.0,9.299999999999999,0.19,0.415841584158416,31.6,moderate,2026-07-20
7,7,0,PM Peak (15–19),24,61.5,52.3,64.0,11.700000000000003,24.0,10.0,7.200000000000001,11.399999999999999,0.08636363636363636,0.331444759206799,22.91,moderate,2026-07-20
7,7,1,AM Peak (6–9),22,57.0,27.795,57.0,29.205,16.0,10.0,4.5,12.0,0.08636363636363636,0.553072625698324,36.21,high schedule variability,2026-07-20
7,7,1,Evening (19–24),30,48.0,38.0,55.0,17.0,29.0,8.0,5.0,15.0,0.10555555555555556,0.41871921182266014,28.82,moderate,2026-07-20
7,7,1,Midday (9–15),38,61.0,61.0,81.0,20.0,37.0,12.0,8.6,12.0,0.07307692307692307,0.4587155963302753,30.08,moderate,2026-07-20
7,7,1,Overnight (0–6),11,38.0,31.0,38.0,7.0,10.0,5.0,5.0,8.599999999999998,0.15833333333333333,0.22875816993464057,19.27,moderate,2026-07-20
7,7,1,PM Peak (15–19),24,78.0,61.9,81.0,19.1,24.0,15.0,9.0,15.0,0.059375,0.4473067915690867,28.92,moderate,2026-07-20
8,8,0,AM Peak (6–9),8,44.0,44.0,44.0,0.0,8.0,3.0,3.0,3.8999999999999995,0.2375,0.0,8.31,very low recovery time,2026-07-20
8,8,0,Evening (19–24),13,33.0,29.0,33.0,4.0,13.0,2.0,2.0,5.0,0.31666666666666665,0.1449275362318841,19.78,very low recovery time,2026-07-20
8,8,0,Midday (9–15),16,38.0,38.0,41.0,3.0,16.0,6.0,3.0,6.0,0.1357142857142857,0.11278195488721807,11.52,moderate,2026-07-20
8,8,0,Overnight (0–6),7,29.0,29.0,44.0,15.0,5.0,5.0,2.0,5.0,0.15833333333333333,0.3886010362694301,28.86,moderate,2026-07-20
8,8,0,PM Peak (15–19),10,38.5,37.8,39.0,1.2000000000000028,11.0,6.0,2.0,6.0,0.1357142857142857,0.04838709677419367,7.65,moderate,2026-07-20
