route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
7,7,0,AM Peak (6–9),19,63.0,57.8,63.0,5.200000000000003,18.0,10.0,5.7,10.0,0.08636363636363636,0.1847246891651866,14.11,moderate,2026-09-05
7,7,0,Evening (19–24),30,41.0,33.0,48.0,15.0,30.0,9.0,5.800000000000001,15.100000000000001,0.095,0.3952569169960475,27.04,moderate,2026-09-05
7,7,0,Midday (9–15),39,56.0,56.0,64.0,8.0,38.0,9.0,4.0,11.0,0.095,0.2584814216478191,18.83,moderate,2026-09-05
7,7,0,Overnight (0–6),14,33.0,33.0,49.800000000000004,16.800000000000004,10.0,4.0,4.0,9.299999999999999,0.19,0.4226415094339624,32.01,moderate,2026-09-05
7,7,0,PM Peak (15–19),24,61.5,52.3,64.0,11.700000000000003,24.0,10.0,7.200000000000001,11.399999999999999,0.08636363636363636,0.3376623376623378,23.28,moderate,2026-09-05
7,7,1,AM Peak (6–9),22,57.0,27.795,57.0,29.205,16.0,10.0,4.5,12.0,0.08636363636363636,0.5599654874892148,36.62,high schedule variability,2026-09-05
7,7,1,Evening (19–24),30,48.0,38.0,55.0,17.0,29.0,8.0,5.0,15.0,0.10555555555555556,0.4255319148936171,29.23,moderate,2026-09-05
7,7,1,Midday (9–15),38,61.0,61.0,81.0,20.0,37.0,12.0,8.6,12.0,0.07307692307692307,0.4656577415599535,30.5,moderate,2026-09-05
7,7,1,Overnight (0–6),11,38.0,31.0,38.0,7.0,10.0,5.0,5.0,8.599999999999998,0.15833333333333333,0.23372287145242074,19.57,moderate,2026-09-05
7,7,1,PM Peak (15–19),24,78.0,61.9,81.0,19.1,24.0,15.0,9.0,15.0,0.059375,0.4542211652794293,29.33,moderate,2026-09-05
8,8,0,AM Peak (6–9),10,35.0,35.0,35.0,0.0,9.0,11.0,11.0,14.2,0.07916666666666666,0.0,2.77,moderate,2026-09-05
8,8,0,Evening (19–24),14,25.0,21.0,25.0,4.0,13.0,5.0,4.2,13.8,0.15833333333333333,0.14842300556586274,14.45,moderate,2026-09-05
8,8,0,Midday (9–15),17,29.0,29.0,30.0,1.0,16.0,10.0,10.0,12.5,0.08636363636363636,0.041753653444676415,5.53,moderate,2026-09-05
8,8,0,Overnight (0–6),6,21.0,21.0,28.0,7.0,5.0,13.0,9.4,13.0,0.06785714285714285,0.23372287145242074,16.4,moderate,2026-09-05
8,8,0,PM Peak (15–19),13,30.0,30.0,30.0,0.0,13.0,5.0,5.0,8.600000000000001,0.15833333333333333,0.0,5.54,moderate,2026-09-05
8,8,1,AM Peak (6–9),9,27.0,27.0,27.0,0.0,10.0,0.0,0.0,0.0,0.95,0.0,33.25,no recovery time,2026-09-05
8,8,1,Evening (19–24),13,25.0,21.0,25.0,4.0,14.0,0.0,0.0,0.0,0.95,0.14842300556586274,42.16,no recovery time,2026-09-05
8,8,1,Midday (9–15),18,26.0,26.0,31.200000000000003,5.200000000000003,17.0,0.0,0.0,0.0,0.95,0.1847246891651866,44.33,no recovery time,2026-09-05
8,8,1,Overnight (0–6),8,21.0,21.0,27.0,6.0,3.0,0.0,0.0,3.2,0.95,0.20725388601036274,45.69,no recovery time,2026-09-05
