route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why
119,119,0,Evening (19–24),1,32.31666666666667,32.31666666666667,32.31666666666667,0.0,2.0,2.0,0.4,3.6,0.8,0.0,40.0,very low recovery time
119,119,0,Midday (9–15),13,30.316666666666666,28.316666666666666,58.6,30.283333333333335,4.0,3.5,1.3,6.4,0.65,0.8652380952380953,75.8,high schedule variability
119,119,0,Overnight (0–6),3,37.0,23.666666666666664,49.0,25.333333333333336,,10.0,,,0.0,0.7238095238095239,36.2,high schedule variability
119,119,0,PM Peak (15–19),9,59.0,59.0,59.0,0.0,9.0,7.0,7.0,7.4,0.30000000000000004,0.0,15.0,moderate
119,119,1,AM Peak (6–9),9,44.0,43.8,44.0,0.20000000000000284,9.0,2.0,2.0,3.0,0.8,0.005714285714285796,40.3,very low recovery time
119,119,1,Evening (19–24),2,7.0,7.0,7.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
119,119,1,Midday (9–15),13,33.65,31.65,43.0,11.350000000000001,12.0,11.5,2.5000000000000004,12.0,0.0,0.32428571428571434,16.2,moderate
119,119,1,Overnight (0–6),3,32.65,32.65,32.65,0.0,1.0,3.0,3.0,3.0,0.7,0.0,35.0,very low recovery time
119,119,1,PM Peak (15–19),10,52.0,52.0,52.0,0.0,10.0,7.0,6.8,11.0,0.30000000000000004,0.0,15.0,moderate
120,120,0,AM Peak (6–9),5,25.0,25.0,25.0,0.0,5.0,2.0,2.0,3.8000000000000003,0.8,0.0,40.0,very low recovery time
120,120,0,Evening (19–24),10,24.0,21.0,24.0,3.0,10.0,6.0,5.4,9.0,0.4,0.08571428571428572,24.3,moderate
120,120,0,Midday (9–15),13,28.0,28.0,29.0,1.0,12.0,2.0,0.20000000000000018,2.0,0.8,0.02857142857142857,41.4,very low recovery time
120,120,0,Overnight (0–6),3,21.0,21.0,21.0,0.0,4.0,0.0,0.0,6.300000000000002,1.0,0.0,50.0,no recovery time
120,120,0,PM Peak (15–19),10,29.0,24.0,29.0,5.0,10.0,8.0,0.0,8.0,0.19999999999999996,0.14285714285714285,17.1,moderate
120,120,1,AM Peak (6–9),6,28.0,23.316666666666666,28.0,4.683333333333334,6.0,3.5,0.0,5.0,0.65,0.13380952380952382,39.2,moderate
120,120,1,Evening (19–24),10,24.0,21.0,24.0,3.0,10.0,6.0,6.0,9.0,0.4,0.08571428571428572,24.3,moderate
